,original_ref,rxn_ref,retro_template,count
133,R19,R17,([c:1]:[n:4](-[c:5]):[n:3]:[cH:2])>>(O-[C:1].O=[CH:2]).([NH2:3]-[NH:4]-[c:5]),2380
134,R19,R17,([c:1]:[n:4]:[n:3]:[cH:2])>>(O-[C:1].O=[CH:2]).([NH2:3]-[NH:4]),1480
135,R19,R17,([c:1]:[n:4](-[c:5]):[n:3]:[c:2])>>(O-[C:1].O=[C:2]).([NH2:3]-[NH:4]-[c:5]),446
136,R19,R17,([c:1]:[n:4]:[n:3]:[c:2])>>(O-[C:1].O=[C:2]).([NH2:3]-[NH:4]),201
137,R20,R18,([c:5]-[c:4]1:[cH:3]:[c:2]:[c:1]:[n:6]:1)>>(O=[C:1]-[CH:2]-[CH2:3]-[C:4](=O)-[c:5]).([NH2:6]),4958
138,R20,R18,([c:1]1:[c:2]:[cH:3]:[c:4]:[n:5]:1)>>(O=[C:1]-[CH:2]-[CH2:3]-[C:4]=O).([NH2:5]),4436
139,R20,R18,([c:5]-[c:4]1:[cH:3]:[cH:2]:[c:1]:[n:6]:1)>>(O=[C:1]-[CH2:2]-[CH2:3]-[C:4](=O)-[c:5]).([NH2:6]),3024
140,R20,R18,([c:1]1:[cH:2]:[cH:3]:[c:4]:[n:5]:1)>>(O=[C:1]-[CH2:2]-[CH2:3]-[C:4]=O).([NH2:5]),2917
141,R20,R18,([c:2]1:[c:1]:[n:5]:[c:4]:[c:3]:1)>>(O=[C:1]-[CH:2]-[CH:3]-[C:4]=O).([NH2:5]),1592
142,R20,R18,([c:1]1:[cH:2]:[c:3]:[c:4]:[n:5]:1)>>(O=[C:1]-[CH2:2]-[CH:3]-[C:4]=O).([NH2:5]),554
143,R21,R19,([c:2]-[c:1]1:n:[c:5](-[c:6]):[nH]:[c:3]:1-[c:4])>>(O=[C:1](-[c:2])-[C:3](=O)-[c:4]).(O=[CH:5]-[c:6]),3491
144,R21,R19,([c:2]-[c:1]1:[nH]:[c:5](-[c:6]):n:[c:3]:1-[c:4])>>(O-[CH:1](-[c:2])-[C:3](=O)-[c:4]).(O=[CH:5]-[c:6]),3220
145,R22,R20,([c:1]:[c:4]:[c:3]:[nH:2])>>([cH:1].N-[NH:2]).(O=[C:3]-[CH2:4]),9808
146,R22,R20,([c:5]-[c:3](:[nH:2]):[c:4]:[c:1])>>([cH:1].N-[NH:2]).(O=[C:3](-[CH2:4])-[c:5]),6627
147,R22,R20,([c:5]-[c:4](:[c:1]):[c:3]:[nH:2])>>([cH:1].N-[NH:2]).(O=[C:3]-[CH2:4]-[c:5]),1421
148,R22,R20,([c:6]-[c:5](:[c:1]):[c:3](-[c:4]):[nH:2])>>([cH:1].N-[NH:2]).(O=[C:3](-[c:4])-[CH2:5]-[c:6]),922
149,R23,R21,([cH:2]:[c:4]:[c:3]:[n:1])>>([NH2:1].O=[CH:2]).(O=[C:3]-[CH2:4]),9404
150,R23,R21,([c:5]-[c:3](:[n:1]):[c:4]:[cH:2])>>([NH2:1].O=[CH:2]).(O=[C:3](-[CH2:4])-[c:5]),7413
151,R23,R21,([c:5]-[c:4](:[cH:2]):[c:3]:[n:1])>>([NH2:1].O=[CH:2]).(O=[C:3]-[CH2:4]-[c:5]),1619
152,R23,R21,([c:6]-[c:5](:[cH:2]):[c:3](-[c:4]):[n:1])>>([NH2:1].O=[CH:2]).(O=[C:3](-[c:4])-[CH2:5]-[c:6]),1066
153,R24,R22,([c:2]:[cH:4]:[c:3]:[o:1])>>([OH:1].Br-[c:2]).([C:3]#[CH:4]),5713
